id,pos_acc_mean,neg_acc_mean,distance,total_time,max_acc,min_acc,gps_err,stop_count,avg_speed,aggressive
4.0,1.105,-1.0190000000000001,1609.902,284.0,15.742,-9.075,1.0,4.0,22.896,0.0
5.0,0.981,-1.119,2797.395,475.0,7.0379999999999985,-6.2970000000000015,5.0,1.0,20.588,0.0
6.0,3.54,-3.4989999999999997,2138.083,237.0,15.372,-19.076,0.0,1.0,36.828,1.0
7.0,1.956,-1.779,1931.739,268.0,34.262,-7.407999999999999,0.0,2.0,34.257,0.0
8.0,2.884,-2.467,6812.325,887.0,25.558000000000003,-15.927,0.0,12.0,36.397,1.0
9.0,2.089,-1.885,5395.03,650.0,19.631,-17.409000000000002,0.0,6.0,36.843,0.0
11.0,2.72,-2.7710000000000004,4509.98,417.0,12.964,-20.557,0.0,4.0,44.285,1.0
12.0,1.907,-1.484,3561.499000000001,512.0,19.446,-8.149,3.0,6.0,30.022,0.0
13.0,1.65,-1.288,4589.05,430.0,15.186,-8.89,0.0,2.0,47.473,0.0
14.0,1.398,-1.431,6689.012,1005.0,9.445,-11.668,0.0,5.0,25.605,0.0
15.0,1.535,-1.218,1659.1860000000001,274.0,9.816,-7.407999999999999,3.0,2.0,23.68,0.0
16.0,1.425,-1.439,7713.836999999998,809.0,11.853,-15.372,0.0,5.0,36.587,0.0
17.0,1.1159999999999999,-1.318,2917.0029999999997,282.0,6.6670000000000025,-7.963999999999999,12.0,0.0,34.832,0.0
18.0,2.374,-1.964,5855.561,847.0,20.742,-16.112000000000002,0.0,8.0,29.901,1.0
19.0,2.06,-1.6740000000000002,2790.604000000001,640.0,14.075,-17.224,0.0,7.0,17.625,1.0
20.0,2.8960000000000004,-2.053,6989.371,1207.0,15.186,-15.372,0.0,15.0,27.314,0.0
21.0,2.438,-1.492,3010.683,721.0,52.597,-11.853,2.0,9.0,20.503,1.0
22.0,1.755,-1.602,6570.742,526.0,11.668,-16.853,6.0,1.0,45.246,1.0
